Marcos  Alonso,Defender,6
Cezar Azpilicueta,Defender,6
Gary Cahill,Defender,6
Trevoh Chalobah,Defender,6
Andreas Christensen,Defender,6
Jake Clarke-Salter,Defender,6
David Luiz,Defender,6
Matt Miazga,Defender,6
Emerson Palmieri dos Santos,Defender,6
Baba Rahman,Defender,6
Antonio Rudiger,Defender,6
Dujon Sterling,Defender,6
Fikayo Tomori,Defender,6
Davide Zappacosta,Defender,6
Ethan Ampadu,Midfielder,6
Tiemoue Bakayoko,Midfielder,6
Ross Barkley,Midfielder,6
Jeremie Boga,Midfielder,6
Cristian Cuevas,Midfielder,6
Danny Drinkwater,Midfielder,6
Cesc Fabregas,Midfielder,6
Eden Hazard,Midfielder,6
Callum Hudson-Odoi,Midfielder,6
N'Golo  Kante,Midfielder,6
Victor Moses,Midfielder,6
Charly Musonda,Midfielder,6
 Pedro,Midfielder,6
Kyle Scott,Midfielder,6
Marcos van Ginkel,Midfielder,6
 Willian,Midfielder,6
Michy Batshuayi,Striker,6
Izzy Brown,Striker,6
Olivier Giroud,Striker,6
Alvaro Morata,Striker,6
Vicente Guaita,Goalkeeper,7
Wayne Hennessey,Goalkeeper,7
Julian Speroni,Goalkeeper,7
Scott Dann,Defender,7
Timothy Fosu-Mensah,Defender,7
Jaroslaw Jach,Defender,7
Martin Kelly,Defender,7
Jairo Riedewald,Defender,7
Mamadou Sakho,Defender,7
Jeffrey Schlupp,Defender,7
Pape Souare,Defender,7
James Tomkins,Defender,7
Patrick van Aanholt,Defender,7
Joel Ward,Defender,7
Nya Kirby,Midfielder,7
Ruben Loftus-Cheek,Midfielder,7
Jason Lokilo,Midfielder,7
James McArthur,Midfielder,7
Luka Milivojevic,Midfielder,7
Jordon Mutch,Midfielder,7
Jason Puncheon,Midfielder,7
Erdal Rakip,Midfielder,7
Bakary Sako,Midfielder,7
Andros Townsend,Midfielder,7
Aaron Wan-Bissaka,Midfielder,7
Jonny Williams,Midfielder,7
Christian Benteke,Striker,7
Sullay Kaikai,Striker,7
Levi Lumeka,Striker,7
Alexander Sorloth,Striker,7
Connor Wickham,Striker,7
Wilfried Zaha,Striker,7
Mateusz Hewelt,Goalkeeper,8
Jordan Pickford,Goalkeeper,8
Maarten Stekelenburg,Goalkeeper,8
Leighton Baines,Defender,8
Tyias Browning,Defender,8
Seamus Coleman,Defender,8
Luke Garbutt,Defender,8
Phil Jagielka,Defender,8
Michael Keane,Defender,8
Jonjoe Kenny,Defender,8
Eliaquim Mangala,Defender,8
Cuco Martina,Defender,8
Matthew Pennington,Defender,8
Ashley Williams,Defender,8
Beni Baningime,Midfielder,8
Muhamed Besic,Midfielder,8
Yannick Bolasie,Midfielder,8
Tom Davies,Midfielder,8
Morgan Feeney,Midfielder,8
Idrissa Gana-Gueye,Midfielder,8
Mason Holgate,Midfielder,8
Davy Klaassen,Midfielder,8
James McCarthy,Midfielder,8
Kevin Mirallas,Midfielder,8
Morgan Schneiderlin,Midfielder,8
Gylfi Sigurdsson,Midfielder,8
Nikola Vlasic,Midfielder,8
Theo Walcott,Midfielder,8
Joe Williams,Midfielder,8
Dominic Calvert-Lewin,Striker,8
Ademola Lookman,Striker,8
Oumar Niasse,Striker,8
Henry Onyekuru,Striker,8
Sandro Ramirez,Striker,8
Bassala Sambou,Striker,8
Shani Tarashaj,Striker,8
Cenk Tosun,Striker,8
Marcus Bettinelli,Goalkeeper,9
David Button,Goalkeeper,9
Cyrus Christie,Defender,9
Marcelo Djalo,Defender,9
Adetayo Edun,Defender,9
Tomas Kalas,Defender,9
Maxime Le Marchand,Defender,9
Denis Odoi,Defender,9
Tim   Ream,Defender,9
Ryan Sessegnon,Defender,9
Zeze Steven Sessegnon,Defender,9
Matt Targett,Defender,9
Tom Cairney,Midfielder,9
Ibrahima Cisse,Midfielder,9
Stefan Johansen,Midfielder,9
Neeskens Kebano,Midfielder,9
Kevin McDonald,Midfielder,9
Oliver Norwood,Midfielder,9
Sheyi Ojo,Midfielder,9
Lucas Piazon,Midfielder,9
Jean Michael Seri,Midfielder,9
Floyd Ayite,Striker,9
Lucas De La Torre,Striker,9
Rui Fonte,Striker,9
Aboubakar Kamara,Striker,9
Aleksandar Mitrovic,Striker,9
Joel Coleman,Goalkeeper,10
Ben Hamer,Goalkeeper,10
Jonas Lossl,Goalkeeper,10
Martin Cranie,Defender,10
Florent Hadergjonaj,Defender,10
Michael Hefele,Defender,10
Tareiq Holmes-Dennis,Defender,10
Marko Hudson,Defender,10
Mathias Jorgensen,Defender,10
Terence  Kongolo,Defender,10
Chris  Lowe,Defender,10
Scott Malone,Defender,10
Christopher Schindler,Defender,10
Tommy Smith,Defender,10
Juninho Bacuna,Midfielder,10
Philippe Billing,Midfielder,10
Regan Booty,Midfielder,10
Tom Ince,Midfielder,10
Jonathan Hogg,Midfielder,10
Aaron Mooy,Midfielder,10
Jack Payne,Midfielder,10
Alex Pritchard,Midfielder,10
Abdelhamid Sabiri,Midfielder,10
Ramadan Sobhi,Midfielder,10
Jon Stankovic,Midfielder,10
